time,vs,dvs,hs,dist,alt,ang,weight,acc,fuel
77,22.39078528,24,830.6299503,-67705.56778,12044.02162,58.3,274.0953856,1.54119369,109.0953856
78,22.410413,24,829.3186856,-68534.88647,12021.6112,58.3,273.9463777,1.543587049,108.9463777
79,22.43003417,24,828.0053846,-69362.89185,11999.18117,58.3,273.79722,1.54598166,108.79722
80,22.44965009,24,826.6900462,-70189.5819,11976.73152,58.3,273.647912,1.548383005,108.647912
81,22.46925915,24,825.3726647,-71014.95456,11954.26226,58.3,273.4984533,1.5507939,108.4984533
82,22.48885829,24,824.053232,-71839.00779,11931.7734,58.3,273.3488432,1.553213437,108.3488432
83,22.50844493,24,822.7317408,-72661.73954,11909.26496,58.3,273.1990817,1.555638344,108.1990817
84,22.52801821,24,821.4081864,-73483.14772,11886.73694,58.3,273.0491688,1.558065431,108.0491688
85,22.54757895,24,820.082567,-74303.23029,11864.18936,58.3,272.8991048,1.560493454,107.8991048
86,22.56712863,24,818.7548819,-75121.98517,11841.62223,58.3,272.7488898,1.562923419,107.7488898
87,22.5866682,24,817.4251293,-75939.4103,11819.03556,58.3,272.5985239,1.565357504,107.5985239
88,22.60619747,24,816.0933057,-76755.50361,11796.42936,58.3,272.4480067,1.567797521,107.4480067
89,22.62571529,24,814.7594062,-77570.26301,11773.80365,58.3,272.2973381,1.570243938,107.2973381
90,22.64522029,24,813.4234252,-78383.68644,11751.15843,58.3,272.1465177,1.572695903,107.1465177
91,22.66471153,24,812.085358,-79195.77179,11728.49372,58.3,271.9955456,1.575152041,106.9955456
92,22.68418882,24,810.7452012,-80006.517,11705.80953,58.3,271.8444218,1.577611387,106.8444218
93,22.70365245,24,809.4029519,-80815.91995,11683.10588,58.3,271.6931463,1.580073877,106.6931463
94,22.72310278,24,808.0586075,-81623.97856,11660.38277,58.3,271.5417192,1.582540194,106.5417192
95,22.7425398,24,806.7121647,-82430.69072,11637.64023,58.3,271.3901403,1.585011213,106.3901403
96,22.76196303,24,805.3636195,-83236.05434,11614.87827,58.3,271.2384094,1.587487448,106.2384094
97,22.78137173,24,804.0129676,-84040.06731,11592.0969,58.3,271.0865265,1.589968831,106.0865265
98,22.80076523,24,802.6602044,-84842.72751,11569.29613,58.3,270.9344914,1.59245489,105.9344914
99,22.82014306,24,801.3053261,-85644.03284,11546.47599,58.3,270.7823041,1.594945119,105.7823041
100,22.83950506,24,799.9483291,-86443.98117,11523.63649,58.3,270.6299645,1.597439299,105.6299645
101,22.85885118,24,798.58921,-87242.57038,11500.77763,58.3,270.4774727,1.599937569,105.4774727
102,22.87818129,24,797.2279653,-88039.79834,11477.89945,58.3,270.3248285,1.602440282,105.3248285
103,22.89749507,24,795.8645913,-88835.66293,11455.00196,58.3,270.1720319,1.60494775,105.1720319
104,22.91679208,24,794.499084,-89630.16202,11432.08517,58.3,270.0190828,1.607460082,105.0190828
105,22.93607178,24,793.1314391,-90423.29346,11409.14909,58.3,269.865981,1.609977164,104.865981
106,22.95533372,24,791.7616526,-91215.05511,11386.19376,58.3,269.7127265,1.612498788,104.7127265
107,22.97457755,24,790.3897207,-92005.44483,11363.21918,58.3,269.5593192,1.6150248,104.5593192
108,22.99380302,24,789.0156397,-92794.46047,11340.22538,58.3,269.4057591,1.617555191,104.4057591
109,23.01300988,24,787.6394058,-93582.09988,11317.21237,58.3,269.2520461,1.620090081,104.2520461
110,23.03219781,24,786.2610151,-94368.36089,11294.18017,58.3,269.0981801,1.622629626,104.0981801
111,23.05136644,24,784.8804638,-95153.24135,11271.12881,58.3,268.9441611,1.625173926,103.9441611
112,23.07051531,24,783.4977478,-95936.7391,11248.05829,58.3,268.7899889,1.627722988,103.7899889
113,23.089644,24,782.112863,-96718.85197,11224.96865,58.3,268.6356635,1.630276744,103.6356635
114,23.1087521,24,780.7258054,-97499.57777,11201.85989,58.3,268.4811848,1.632835121,103.4811848
115,23.12783926,24,779.3365712,-98278.91434,11178.73205,58.3,268.3265527,1.635398091,103.3265527
116,23.14690515,24,777.9451563,-99056.8595,11155.58515,58.3,268.1717672,1.637965689,103.1717672
117,23.16594941,24,776.5515569,-99833.41105,11132.4192,58.3,268.0168282,1.640537985,103.0168282
118,23.18497167,24,775.1557689,-100608.5668,11109.23423,58.3,267.8617356,1.643115044,102.8617356
119,23.20397149,24,773.7577884,-101382.3246,11086.03026,58.3,267.7064893,1.645696898,102.7064893
120,23.22294847,24,772.3576112,-102154.6822,11062.80731,58.3,267.5510893,1.648283538,102.5510893
121,23.24190217,24,770.9552333,-102925.6375,11039.56541,58.3,267.3955355,1.65087494,102.3955355
122,23.26083219,24,769.5506505,-103695.1881,11016.30457,58.3,267.2398277,1.653471089,102.2398277
123,23.27973816,24,768.143859,-104463.332,10993.02484,58.3,267.083966,1.656071995,102.083966
124,23.29861966,24,766.7348545,-105230.0668,10969.72622,58.3,266.9279502,1.658677691,101.9279502
125,23.3174763,24,765.3236331,-105995.3905,10946.40874,58.3,266.7717804,1.661288215,101.7717804
126,23.33630765,24,763.9101906,-106759.3006,10923.07243,58.3,266.6154563,1.663903597,101.6154563
127,23.35511329,24,762.494523,-107521.7952,10899.71732,58.3,266.4589779,1.666523848,101.4589779
128,23.37389277,24,761.076626,-108282.8718,10876.34343,58.3,266.3023452,1.66914897,101.3023452
129,23.39264567,24,759.6564955,-109042.5283,10852.95078,58.3,266.145558,1.671778959,101.145558
130,23.41137155,24,758.2341274,-109800.7624,10829.53941,58.3,265.9886163,1.674413823,100.9886163
131,23.43006999,24,756.8095175,-110557.5719,10806.10934,58.3,265.8315201,1.67705358,100.8315201
132,23.44874056,24,755.3826617,-111312.9546,10782.6606,58.3,265.6742692,1.679698255,100.6742692
133,23.46738282,24,753.9535557,-112066.9082,10759.19322,58.3,265.5168635,1.682347871,100.5168635
134,23.48599631,24,752.5221955,-112819.4303,10735.70722,58.3,265.359303,1.685002446,100.359303
135,23.50458059,24,751.0885767,-113570.5189,10712.20264,58.3,265.2015877,1.687661989,100.2015877
136,23.52313519,24,749.6526951,-114320.1716,10688.6795,58.3,265.0437173,1.690326507,100.0437173
137,23.54165967,24,748.2145465,-115068.3862,10665.13784,58.3,264.8856919,1.692996009,99.88569193
138,23.56015355,24,746.7741267,-115815.1603,10641.57769,58.3,264.7275114,1.69567051,99.72751142
139,23.5786164,24,745.3314314,-116560.4917,10617.99907,58.3,264.5691757,1.698350028,99.56917571
140,23.59704773,24,743.8864563,-117304.3782,10594.40203,58.3,264.4106847,1.701034582,99.41068472
141,23.61544709,24,742.4391972,-118046.8174,10570.78658,58.3,264.2520384,1.703724189,99.25203838
142,23.63381399,24,740.9896497,-118787.807,10547.15277,58.3,264.0932366,1.706418863,99.09323661
143,23.65214795,24,739.5378096,-119527.3448,10523.50062,58.3,263.9342793,1.709118615,98.93427933
144,23.67044849,24,738.0836725,-120265.4285,10499.83017,58.3,263.7751665,1.711823458,98.77516646
145,23.68871514,24,736.6272341,-121002.0557,10476.14145,58.3,263.6158979,1.714533406,98.61589793
146,23.70694739,24,735.16849,-121737.2242,10452.43451,58.3,263.4564737,1.717248473,98.45647366
147,23.72514477,24,733.707436,-122470.9317,10428.70936,58.3,263.2968936,1.719968677,98.29689357
148,23.74330678,24,732.2440675,-123203.1757,10404.96605,58.3,263.1371576,1.722694035,98.13715759
149,23.76143291,24,730.7783803,-123933.9541,10381.20462,58.3,262.9772656,1.725424561,97.97726563
150,23.77952267,24,729.3103699,-124663.2645,10357.4251,58.3,262.8172176,1.728160271,97.81721763
151,23.79757555,24,727.8400319,-125391.1045,10333.62752,58.3,262.6570135,1.730901177,97.65701351
152,23.81559103,24,726.367362,-126117.4719,10309.81193,58.3,262.4966532,1.733647294,97.49665318
153,23.83356861,24,724.8923556,-126842.3642,10285.97836,58.3,262.3361366,1.736398637,97.33613657
154,23.85150776,24,723.4150083,-127565.7792,10262.12686,58.3,262.1754636,1.739155222,97.1754636
155,23.86940797,24,721.9353158,-128287.7146,10238.25745,58.3,262.0146342,1.741917066,97.0146342
156,23.88726871,24,720.4532734,-129008.1678,10214.37018,58.3,261.8536483,1.744684185,96.85364828
157,23.90508944,24,718.9688767,-129727.1367,10190.46509,58.3,261.6925058,1.747456593,96.69250578
158,23.92286965,24,717.4821212,-130444.6188,10166.54222,58.3,261.5312066,1.750234306,96.53120661
159,23.94060879,24,715.9930024,-131160.6118,10142.60161,58.3,261.3697507,1.753017339,96.36975069
160,23.95830631,24,714.5015158,-131875.1133,10118.64331,58.3,261.208138,1.755805707,96.20813796
161,23.97596168,24,713.0076568,-132588.121,10094.66734,58.3,261.0463683,1.758599427,96.04636832
162,23.99357435,24,711.5114209,-133299.6324,10070.67377,58.3,260.8844417,1.761398515,95.88444171
163,24.01114376,24,710.0128034,-134009.6452,10046.66263,58.3,260.722358,1.764202987,95.72235804
164,24.02866936,24,708.5117999,-134718.157,10022.63396,58.3,260.5601172,1.767012859,95.56011724
165,24.04615059,24,707.0084058,-135425.1654,9998.587806,58.3,260.3977192,1.769828148,95.39771923
166,24.06358687,24,705.5026163,-136130.6681,9974.524219,58.3,260.2351639,1.772648869,95.23516394
167,24.08097765,24,703.994427,-136834.6625,9950.443241,58.3,260.0724513,1.775475038,95.07245128
168,24.09832234,24,702.4838331,-137537.1463,9926.344919,58.3,259.9095812,1.778306672,94.90958117
169,24.11562038,24,700.97083,-138238.1171,9902.229299,58.3,259.7465535,1.781143788,94.74655355
170,24.13287117,24,699.4554131,-138937.5726,9878.096427,58.3,259.5833683,1.783986403,94.58336833
171,24.15007414,24,697.9375776,-139635.5101,9853.946353,58.3,259.4200254,1.786834532,94.42002543
172,24.16722868,24,696.417319,-140331.9275,9829.779125,58.3,259.2565248,1.789688194,94.25652477
173,24.18433422,24,694.8946324,-141026.8221,9805.59479,58.3,259.0928663,1.792547405,94.09286629
174,24.20139014,24,693.3695131,-141720.1916,9781.3934,58.3,258.9290499,1.795412181,93.92904989
175,24.21839585,24,691.8419565,-142412.0336,9757.175004,58.3,258.7650755,1.79828254,93.7650755
176,24.23535074,24,690.3119577,-143102.3455,9732.939654,58.3,258.6009431,1.801158499,93.60094305
177,24.25225419,24,688.7795121,-143791.125,9708.687399,58.3,258.4366525,1.804040076,93.43665245
178,24.26910558,24,687.2446147,-144478.3696,9684.418294,58.3,258.2722036,1.806927288,93.27220363
179,24.2859043,24,685.7072609,-145164.0769,9660.132389,58.3,258.1075965,1.809820153,93.1075965
180,24.30264972,24,684.1674458,-145848.2443,9635.82974,58.3,257.942831,1.812718688,92.942831
181,24.3193412,24,682.6251646,-146530.8695,9611.510399,58.3,257.777907,1.815622911,92.77790703
182,24.33597812,24,681.0804125,-147211.9499,9587.17442,58.3,257.6128245,1.818532841,92.61282452
183,24.35255982,24,679.5331845,-147891.4831,9562.821861,58.3,257.4475834,1.821448494,92.4475834
184,24.36908567,24,677.9834759,-148569.4666,9538.452775,58.3,257.2821836,1.824369889,92.28218358
185,24.38555502,24,676.4312817,-149245.8979,9514.06722,58.3,257.116625,1.827297044,92.11662498
186,24.4019672,24,674.8765971,-149920.7745,9489.665253,58.3,256.9509075,1.830229979,91.95090753
187,24.41832156,24,673.3194171,-150594.0939,9465.246931,58.3,256.7850311,1.833168711,91.78503115
188,24.43461743,24,671.7597368,-151265.8536,9440.812314,58.3,256.6189957,1.836113259,91.61899575
189,24.45085415,24,670.1975513,-151936.0512,9416.36146,58.3,256.4528013,1.839063642,91.45280125
190,24.46703103,24,668.6328555,-152604.684,9391.894429,58.3,256.2864476,1.842019878,91.28644758
191,24.48314739,24,667.0656445,-153271.7497,9367.411281,58.3,256.1199347,1.844981987,91.11993466
192,24.49920256,24,665.4959133,-153937.2456,9342.912079,58.3,255.9532624,1.847949988,90.95326241
193,24.51519583,24,663.923657,-154601.1692,9318.396883,58.3,255.7864307,1.8509239,90.78643074
194,24.53112652,24,662.3488703,-155263.5181,9293.865756,58.3,255.6194396,1.853903743,90.61943958
195,24.54699391,24,660.7715484,-155924.2897,9269.318762,58.3,255.4522888,1.856889536,90.45228885
196,24.56279731,24,659.1916862,-156583.4813,9244.755965,58.3,255.2849785,1.8598813,90.28497846
197,24.57853599,24,657.6092785,-157241.0906,9220.177429,58.3,255.1175083,1.862879053,90.11750833
198,24.59420924,24,656.0243203,-157897.1149,9195.58322,58.3,254.9498784,1.865882816,89.94987838
199,24.60981633,24,654.4368065,-158551.5517,9170.973403,58.3,254.7820885,1.868892609,89.78208854
200,24.62535654,24,652.8467319,-159204.3985,9146.348047,58.3,254.6141387,1.871908453,89.61413872
201,24.64082913,24,651.2540914,-159855.6526,9121.707218,58.3,254.4460288,1.874930368,89.44602884
202,24.65623335,24,649.6588798,-160505.3115,9097.050984,58.3,254.2777588,1.877958374,89.27775881
203,24.67156846,24,648.061092,-161153.3725,9072.379416,58.3,254.1093286,1.880992493,89.10932856
204,24.68683371,24,646.4607227,-161799.8333,9047.692582,58.3,253.940738,1.884032745,88.940738
205,24.70202833,24,644.8577667,-162444.691,9022.990554,58.3,253.7719871,1.887079152,88.77198705
206,24.71715156,24,643.2522188,-163087.9433,8998.273402,58.3,253.6030756,1.890131734,88.60307563
207,24.73220262,24,641.6440737,-163729.5873,8973.5412,58.3,253.4340037,1.893190514,88.43400366
208,24.74718074,24,640.0333262,-164369.6207,8948.794019,58.3,253.264771,1.896255513,88.26477104
209,24.76208513,24,638.4199709,-165008.0406,8924.031934,58.3,253.0953777,1.899326753,88.09537771
210,24.77691501,24,636.8040026,-165644.8446,8899.255019,58.3,252.9258236,1.902404255,87.92582356
211,24.79166957,24,635.1854159,-166280.03,8874.463349,58.3,252.7561085,1.905488043,87.75610853
212,24.806348,24,633.5642055,-166913.5942,8849.657001,58.3,252.5862325,1.908578138,87.58623252
213,24.82094951,24,631.940366,-167545.5346,8824.836052,58.3,252.4161955,1.911674562,87.41619546
214,24.83547327,24,630.3138921,-168175.8485,8800.000579,58.3,252.2459972,1.91477734,87.24599725
215,24.84991845,24,628.6847783,-168804.5333,8775.15066,58.3,252.0756378,1.917886493,87.07563781
216,24.86428422,24,627.0530191,-169431.5863,8750.286376,58.3,251.9051171,1.921002044,86.90511705
217,24.87856976,24,625.4186092,-170057.0049,8725.407806,58.3,251.7344349,1.924124017,86.7344349
218,24.8927742,24,623.7815432,-170680.7865,8700.515032,58.3,251.5635913,1.927252436,86.56359126
219,24.9068967,24,622.1418154,-171302.9283,8675.608135,58.3,251.3925861,1.930387324,86.39258605
220,24.9209364,24,620.4994204,-171923.4277,8650.687199,58.3,251.2214192,1.933528705,86.22141918
221,24.93489244,24,618.8543527,-172542.282,8625.752306,58.3,251.0500906,1.936676604,86.05009056
222,24.94876392,24,617.2066067,-173159.4886,8600.803542,58.3,250.8786001,1.939831043,85.87860011
223,24.96254999,24,615.5561769,-173775.0448,8575.840992,58.3,250.7069477,1.942992049,85.70694773
224,24.97624974,24,613.9030577,-174388.9479,8550.864743,58.3,250.5351333,1.946159646,85.53513334
225,24.98986227,24,612.2472434,-175001.1951,8525.87488,58.3,250.3631569,1.949333859,85.36315686
226,25.00338669,24,610.5887285,-175611.7839,8500.871494,58.3,250.1910182,1.952514712,85.19101818
227,25.01682208,24,608.9275073,-176220.7114,8475.854672,58.3,250.0187172,1.955702232,85.01871723
228,25.03016752,24,607.2635741,-176827.9749,8450.824504,58.3,249.8462539,1.958896444,84.84625391
229,25.04342208,24,605.5969233,-177433.5719,8425.781082,58.3,249.6736281,1.962097375,84.67362813
230,25.05658482,24,603.927549,-178037.4994,8400.724497,58.3,249.5008398,1.965305049,84.5008398
231,25.0696548,24,602.2554457,-178639.7549,8375.654842,58.3,249.3278888,1.968519494,84.32788883
232,25.08263106,24,600.5806074,-179240.3355,8350.572211,58.3,249.1547751,1.971740736,84.15477513
233,25.09551265,24,598.9030285,-179839.2385,8325.476699,58.3,248.9814986,1.974968802,83.9814986
234,25.10829858,24,597.2227031,-180436.4612,8300.3684,58.3,248.8080591,1.97820372,83.80805915
235,25.12098789,24,595.5396254,-181032.0008,8275.247412,58.3,248.6344567,1.981445516,83.63445669
236,25.13357957,24,593.8537895,-181625.8546,8250.113833,58.3,248.4606911,1.984694218,83.46069112
237,25.14607264,24,592.1651897,-182218.0198,8224.96776,58.3,248.2867624,1.987949854,83.28676236
238,25.1584661,24,590.4738198,-182808.4936,8199.809294,58.3,248.1126703,1.991212452,83.1126703
239,25.17075891,24,588.7796742,-183397.2733,8174.638535,58.3,247.9384148,1.994482042,82.93841484
240,25.18295006,24,587.0827467,-183984.356,8149.455585,58.3,247.7639959,1.99775865,82.7639959
241,25.19503851,24,585.3830314,-184569.7391,8124.260546,58.3,247.5894134,2.001042307,82.58941338
242,25.20702323,24,583.6805224,-185153.4196,8099.053523,58.3,247.4146672,2.004333042,82.41466718
243,25.21890315,24,581.9752136,-185735.3948,8073.83462,58.3,247.2397572,2.007630884,82.23975719
244,25.23067721,24,580.2670989,-186315.6619,8048.603943,58.3,247.0646833,2.010935863,82.06468333
245,25.24234435,24,578.5561723,-186894.2181,8023.361599,58.3,246.8894455,2.01424801,81.88944549
246,25.25390346,24,576.8424278,-187471.0605,7998.107695,58.3,246.7140436,2.017567355,81.71404357
247,25.26535348,24,575.125859,-188046.1864,7972.842342,58.3,246.5384775,2.020893928,81.53847747
248,25.27669327,24,573.40646,-188619.5928,7947.565648,58.3,246.3627471,2.024227761,81.3627471
249,25.28792175,24,571.6842246,-189191.277,7922.277727,58.3,246.1868523,2.027568885,81.18685234
250,25.29903777,24,569.9591464,-189761.2362,7896.978689,58.3,246.0107931,2.030917332,81.01079309
